Zipcode,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME,Year
78610,2327.0,34.0,0.0,57.0,12.0,0.0,2760.0,1154.0,1606.0,ZCTA5 78610,2016
78613,2429.0,313.0,9.0,146.0,0.0,359.0,3315.0,1389.0,1926.0,ZCTA5 78613,2016
78617,3275.0,328.0,117.0,109.0,0.0,68.0,5016.0,2230.0,2786.0,ZCTA5 78617,2016
78641,2686.0,226.0,0.0,58.0,0.0,128.0,3289.0,1455.0,1834.0,ZCTA5 78641,2016
78652,231.0,15.0,0.0,0.0,0.0,0.0,246.0,75.0,171.0,ZCTA5 78652,2016
78653,2296.0,653.0,0.0,39.0,0.0,12.0,3358.0,1607.0,1751.0,ZCTA5 78653,2016
78660,4094.0,1424.0,0.0,399.0,0.0,77.0,6211.0,2464.0,3747.0,ZCTA5 78660,2016
78664,4670.0,1173.0,53.0,230.0,0.0,462.0,6711.0,3025.0,3686.0,ZCTA5 78664,2016
78681,2704.0,315.0,0.0,169.0,0.0,72.0,3297.0,1389.0,1908.0,ZCTA5 78681,2016
78701,569.0,58.0,17.0,13.0,0.0,13.0,679.0,386.0,293.0,ZCTA5 78701,2016
78702,3559.0,1424.0,0.0,114.0,0.0,184.0,5481.0,2578.0,2903.0,ZCTA5 78702,2016
78703,1172.0,3.0,28.0,311.0,0.0,0.0,1515.0,766.0,749.0,ZCTA5 78703,2016
78704,6191.0,513.0,184.0,143.0,33.0,154.0,7332.0,3537.0,3795.0,ZCTA5 78704,2016
78705,8480.0,323.0,72.0,3292.0,0.0,575.0,12961.0,6613.0,6348.0,ZCTA5 78705,2016
78712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZCTA5 78712,2016
78717,577.0,32.0,0.0,103.0,0.0,0.0,712.0,308.0,404.0,ZCTA5 78717,2016
78719,269.0,14.0,0.0,0.0,0.0,0.0,310.0,136.0,174.0,ZCTA5 78719,2016
78721,1903.0,1312.0,3.0,60.0,0.0,32.0,3516.0,1323.0,2193.0,ZCTA5 78721,2016
78722,625.0,95.0,0.0,10.0,32.0,224.0,986.0,238.0,748.0,ZCTA5 78722,2016
78723,5490.0,1904.0,10.0,121.0,0.0,114.0,8699.0,3948.0,4751.0,ZCTA5 78723,2016
78724,4294.0,1200.0,108.0,0.0,0.0,226.0,6707.0,3326.0,3381.0,ZCTA5 78724,2016
78725,832.0,771.0,0.0,0.0,0.0,65.0,1668.0,919.0,749.0,ZCTA5 78725,2016
78726,956.0,13.0,0.0,0.0,0.0,91.0,1060.0,279.0,781.0,ZCTA5 78726,2016
78727,1062.0,314.0,0.0,246.0,0.0,77.0,1811.0,738.0,1073.0,ZCTA5 78727,2016
78728,935.0,503.0,0.0,95.0,0.0,131.0,1846.0,861.0,985.0,ZCTA5 78728,2016
78729,1211.0,353.0,0.0,181.0,0.0,77.0,1878.0,867.0,1011.0,ZCTA5 78729,2016
78730,306.0,0.0,0.0,16.0,0.0,38.0,360.0,85.0,275.0,ZCTA5 78730,2016
78731,1737.0,78.0,0.0,472.0,0.0,57.0,2438.0,918.0,1520.0,ZCTA5 78731,2016
78732,188.0,0.0,0.0,0.0,0.0,0.0,188.0,22.0,166.0,ZCTA5 78732,2016
78733,174.0,0.0,0.0,5.0,0.0,0.0,194.0,70.0,124.0,ZCTA5 78733,2016
78734,1329.0,11.0,0.0,11.0,0.0,39.0,1408.0,445.0,963.0,ZCTA5 78734,2016
78735,1257.0,42.0,0.0,0.0,0.0,30.0,1329.0,624.0,705.0,ZCTA5 78735,2016
78736,116.0,1.0,0.0,49.0,0.0,0.0,166.0,57.0,109.0,ZCTA5 78736,2016
78737,386.0,3.0,0.0,1.0,0.0,0.0,391.0,174.0,217.0,ZCTA5 78737,2016
78738,285.0,0.0,0.0,21.0,0.0,66.0,372.0,200.0,172.0,ZCTA5 78738,2016
78739,377.0,0.0,0.0,42.0,0.0,21.0,440.0,189.0,251.0,ZCTA5 78739,2016
78741,12757.0,2041.0,234.0,1092.0,0.0,728.0,18029.0,9055.0,8974.0,ZCTA5 78741,2016
78742,151.0,36.0,0.0,0.0,0.0,0.0,187.0,85.0,102.0,ZCTA5 78742,2016
78744,9558.0,842.0,26.0,7.0,0.0,404.0,12408.0,5872.0,6536.0,ZCTA5 78744,2016
78745,6907.0,480.0,40.0,166.0,11.0,369.0,8176.0,3789.0,4387.0,ZCTA5 78745,2016
78746,1009.0,39.0,0.0,76.0,67.0,28.0,1247.0,580.0,667.0,ZCTA5 78746,2016
